ID Serie,ID Actualización,Período,Tipo Período,Producto,Tipo Recurso,Valor Producción,Unidad,Participación,Es Proyección,Método Forecast,Límite Inferior,Límite Superior,Fecha Cálculo
SER-2026-07-OIL-SHALE,ACT-2026-07,2026-07-01,Mes histórico,Petróleo,Shale,3146872.6959,m3,0.9711103522579456,False,,,,
SER-2025-08-GAS-CONVENCIONAL,ACT-2026-07,2025-08-01,Mes histórico,Gas,Convencional,372807.698,miles de m3,0.10618585532821738,False,,,,
SER-2025-08-GAS-TIGHT,ACT-2026-07,2025-08-01,Mes histórico,Gas,Tight,374675.5136,miles de m3,0.1067178604293604,False,,,,
SER-2025-08-GAS-SHALE,ACT-2026-07,2025-08-01,Mes histórico,Gas,Shale,2763414.7027,miles de m3,0.7870962842424222,False,,,,
SER-2025-09-GAS-CONVENCIONAL,ACT-2026-07,2025-09-01,Mes histórico,Gas,Convencional,337422.4605,miles de m3,0.11750785097853038,False,,,,
SER-2025-09-GAS-TIGHT,ACT-2026-07,2025-09-01,Mes histórico,Gas,Tight,303347.2352,miles de m3,0.10564110538406439,False,,,,
SER-2025-09-GAS-SHALE,ACT-2026-07,2025-09-01,Mes histórico,Gas,Shale,2230718.9554,miles de m3,0.7768510436374052,False,,,,
SER-2025-10-GAS-CONVENCIONAL,ACT-2026-07,2025-10-01,Mes histórico,Gas,Convencional,331067.3406,miles de m3,0.12871836966133196,False,,,,
SER-2025-10-GAS-TIGHT,ACT-2026-07,2025-10-01,Mes histórico,Gas,Tight,255853.1111,miles de m3,0.09947521635292236,False,,,,
SER-2025-10-GAS-SHALE,ACT-2026-07,2025-10-01,Mes histórico,Gas,Shale,1985108.2453,miles de m3,0.7718064139857457,False,,,,
SER-2025-11-GAS-CONVENCIONAL,ACT-2026-07,2025-11-01,Mes histórico,Gas,Convencional,274517.6498,miles de m3,0.11232709654859724,False,,,,
SER-2025-11-GAS-TIGHT,ACT-2026-07,2025-11-01,Mes histórico,Gas,Tight,275913.9748,miles de m3,0.11289844463205377,False,,,,
SER-2025-11-GAS-SHALE,ACT-2026-07,2025-11-01,Mes histórico,Gas,Shale,1893481.3602,miles de m3,0.7747744588193491,False,,,,
SER-2025-12-GAS-CONVENCIONAL,ACT-2026-07,2025-12-01,Mes histórico,Gas,Convencional,284295.6694,miles de m3,0.10096662547499553,False,,,,
SER-2025-12-GAS-TIGHT,ACT-2026-07,2025-12-01,Mes histórico,Gas,Tight,303425.1856,miles de m3,0.10776040711000788,False,,,,
SER-2025-12-GAS-SHALE,ACT-2026-07,2025-12-01,Mes histórico,Gas,Shale,2228018.1881,miles de m3,0.7912729674149966,False,,,,
SER-2026-01-GAS-CONVENCIONAL,ACT-2026-07,2026-01-01,Mes histórico,Gas,Convencional,298626.6092,miles de m3,0.10553110943037886,False,,,,
SER-2026-01-GAS-TIGHT,ACT-2026-07,2026-01-01,Mes histórico,Gas,Tight,301813.3796,miles de m3,0.10665727637415129,False,,,,
SER-2026-01-GAS-SHALE,ACT-2026-07,2026-01-01,Mes histórico,Gas,Shale,2229309.5591,miles de m3,0.7878116141954699,False,,,,
SER-2026-02-GAS-CONVENCIONAL,ACT-2026-07,2026-02-01,Mes histórico,Gas,Convencional,303880.6201,miles de m3,0.11080880416721366,False,,,,
SER-2026-02-GAS-TIGHT,ACT-2026-07,2026-02-01,Mes histórico,Gas,Tight,277730.6743,miles de m3,0.10127333519857097,False,,,,
SER-2026-02-GAS-SHALE,ACT-2026-07,2026-02-01,Mes histórico,Gas,Shale,2160775.6701,miles de m3,0.7879178606342153,False,,,,
SER-2026-03-GAS-CONVENCIONAL,ACT-2026-07,2026-03-01,Mes histórico,Gas,Convencional,311288.1787,miles de m3,0.09893450598470634,False,,,,
SER-2026-03-GAS-TIGHT,ACT-2026-07,2026-03-01,Mes histórico,Gas,Tight,294814.7826,miles de m3,0.09369888376528832,False,,,,
SER-2026-03-GAS-SHALE,ACT-2026-07,2026-03-01,Mes histórico,Gas,Shale,2540303.5993,miles de m3,0.8073666102500053,False,,,,
SER-2026-04-GAS-CONVENCIONAL,ACT-2026-07,2026-04-01,Mes histórico,Gas,Convencional,315945.9219,miles de m3,0.10388042065437357,False,,,,
SER-2026-04-GAS-TIGHT,ACT-2026-07,2026-04-01,Mes histórico,Gas,Tight,270946.8379,miles de m3,0.08908509192574061,False,,,,
SER-2026-04-GAS-SHALE,ACT-2026-07,2026-04-01,Mes histórico,Gas,Shale,2454545.8473,miles de m3,0.8070344874198858,False,,,,
SER-2026-05-GAS-CONVENCIONAL,ACT-2026-07,2026-05-01,Mes histórico,Gas,Convencional,344531.0589,miles de m3,0.09631802710143034,False,,,,
SER-2026-05-GAS-TIGHT,ACT-2026-07,2026-05-01,Mes histórico,Gas,Tight,311352.1689,miles de m3,0.0870424476038416,False,,,,
SER-2026-05-GAS-SHALE,ACT-2026-07,2026-05-01,Mes histórico,Gas,Shale,2921132.096,miles de m3,0.816639525294728,False,,,,
SER-2026-06-GAS-CONVENCIONAL,ACT-2026-07,2026-06-01,Mes histórico,Gas,Convencional,327382.7873,miles de m3,0.09178090682058995,False,,,,
SER-2026-06-GAS-TIGHT,ACT-2026-07,2026-06-01,Mes histórico,Gas,Tight,317396.6856,miles de m3,0.08898132936819088,False,,,,
SER-2026-06-GAS-SHALE,ACT-2026-07,2026-06-01,Mes histórico,Gas,Shale,2922223.7159,miles de m3,0.8192377638112192,False,,,,
SER-2026-07-GAS-CONVENCIONAL,ACT-2026-07,2026-07-01,Mes histórico,Gas,Convencional,331489.6195,miles de m3,0.09041556110885597,False,,,,
SER-2026-07-GAS-TIGHT,ACT-2026-07,2026-07-01,Mes histórico,Gas,Tight,350188.2916,miles de m3,0.09551572361910922,False,,,,
SER-2026-07-GAS-SHALE,ACT-2026-07,2026-07-01,Mes histórico,Gas,Shale,2984611.5576,miles de m3,0.8140687152720347,False,,,,
